x,y
568.0,486.0
567.0,477.0
567.0,477.0
567.0,397.0
559.0,339.0
555.0,317.0
554.0,303.0
557.0,301.0
557.0,305.0
561.0,313.0
562.0,341.0
566.0,354.0
576.0,364.0
595.0,379.0
606.0,379.0
611.0,376.0
616.0,372.0
616.0,362.0
604.0,341.0
595.0,334.0
586.0,328.0
580.0,327.0
566.0,324.0
565.0,322.0
586.0,325.0
598.0,323.0
610.0,325.0
626.0,330.0
626.0,330.0
641.0,332.0
657.0,341.0
682.0,354.0
672.0,372.0
664.0,370.0
653.0,365.0
646.0,357.0
639.0,345.0
637.0,331.0
637.0,331.0
665.0,321.0
671.0,333.0
678.0,347.0
684.0,358.0
687.0,367.0
685.0,353.0
683.0,343.0
686.0,314.0
692.0,310.0
701.0,307.0
710.0,309.0
750.0,340.0
762.0,348.0
766.0,356.0
768.0,362.0
768.0,362.0
762.0,368.0
754.0,366.0
727.0,331.0
726.0,319.0
732.0,312.0
739.0,303.0
747.0,306.0
755.0,306.0
765.0,317.0
772.0,324.0
779.0,363.0
774.0,368.0
769.0,367.0
764.0,363.0
760.0,359.0
764.0,355.0
772.0,351.0
819.0,350.0
832.0,352.0
844.0,351.0
857.0,352.0
871.0,354.0
899.0,365.0
897.0,369.0
895.0,372.0
889.0,373.0
883.0,375.0
855.0,360.0
849.0,351.0
850.0,341.0
850.0,333.0
855.0,325.0
863.0,321.0
871.0,322.0
881.0,327.0
892.0,360.0
892.0,365.0
893.0,364.0
896.0,358.0
901.0,308.0
899.0,290.0
897.0,273.0
896.0,258.0
896.0,243.0
890.0,236.0
884.0,228.0
876.0,264.0
877.0,274.0
886.0,286.0
896.0,301.0
903.0,315.0
915.0,327.0
922.0,342.0
934.0,359.0
934.0,348.0
932.0,336.0
935.0,326.0
942.0,306.0
977.0,329.0
986.0,338.0
993.0,345.0
1000.0,352.0
1008.0,360.0
1010.0,364.0
982.0,360.0
976.0,350.0
973.0,340.0
971.0,331.0
971.0,321.0
976.0,315.0
1019.0,316.0
1024.0,323.0
1027.0,333.0
1026.0,344.0
1025.0,356.0
996.0,388.0
995.0,392.0
999.0,393.0
1011.0,398.0
1017.0,399.0
1022.0,399.0
1019.0,382.0
1015.0,375.0
1008.0,369.0
1001.0,367.0
997.0,363.0
995.0,368.0
989.0,373.0
985.0,382.0
950.0,436.0
940.0,453.0
931.0,466.0
923.0,475.0
918.0,484.0
928.0,483.0
939.0,475.0
953.0,468.0
967.0,458.0
984.0,454.0
999.0,446.0
1020.0,434.0
