x,y
404.0,557.0
404.0,557.0
405.0,551.0
406.0,553.0
409.0,552.0
411.0,540.0
411.0,540.0
417.0,509.0
427.0,469.0
427.0,444.0
423.0,403.0
423.0,403.0
423.0,359.0
426.0,317.0
427.0,299.0
422.0,265.0
422.0,265.0
419.0,263.0
418.0,273.0
420.0,296.0
420.0,296.0
424.0,331.0
428.0,350.0
428.0,350.0
445.0,374.0
473.0,382.0
490.0,380.0
517.0,355.0
517.0,355.0
536.0,324.0
530.0,298.0
523.0,284.0
523.0,284.0
492.0,254.0
449.0,230.0
424.0,231.0
416.0,238.0
416.0,238.0
414.0,238.0
429.0,233.0
446.0,225.0
478.0,224.0
478.0,224.0
524.0,230.0
558.0,256.0
558.0,256.0
574.0,271.0
595.0,302.0
605.0,329.0
605.0,329.0
601.0,336.0
601.0,336.0
602.0,301.0
598.0,284.0
598.0,284.0
599.0,234.0
599.0,234.0
608.0,216.0
635.0,218.0
653.0,239.0
661.0,260.0
669.0,278.0
675.0,302.0
668.0,342.0
644.0,382.0
644.0,382.0
610.0,403.0
597.0,410.0
587.0,415.0
587.0,415.0
588.0,425.0
597.0,432.0
597.0,432.0
652.0,475.0
674.0,490.0
693.0,504.0
693.0,504.0
