x,y
135.0,439.0
139.0,433.0
140.0,426.0
141.0,414.0
138.0,400.0
137.0,380.0
137.0,384.0
138.0,382.0
147.0,403.0
150.0,412.0
154.0,419.0
162.0,425.0
169.0,430.0
177.0,434.0
182.0,429.0
186.0,391.0
192.0,386.0
199.0,382.0
199.0,382.0
234.0,390.0
245.0,404.0
247.0,409.0
247.0,419.0
247.0,432.0
244.0,437.0
238.0,435.0
222.0,421.0
221.0,412.0
219.0,399.0
227.0,383.0
232.0,381.0
237.0,386.0
246.0,390.0
253.0,398.0
261.0,424.0
260.0,423.0
259.0,411.0
258.0,399.0
257.0,365.0
255.0,348.0
255.0,335.0
244.0,300.0
240.0,310.0
234.0,311.0
234.0,311.0
231.0,322.0
231.0,328.0
236.0,347.0
245.0,352.0
292.0,394.0
306.0,403.0
308.0,411.0
310.0,417.0
310.0,425.0
310.0,425.0
310.0,431.0
277.0,399.0
276.0,390.0
283.0,385.0
286.0,380.0
294.0,376.0
297.0,376.0
306.0,380.0
306.0,380.0
319.0,416.0
315.0,420.0
313.0,421.0
309.0,419.0
307.0,416.0
304.0,412.0
326.0,412.0
344.0,425.0
350.0,430.0
350.0,426.0
351.0,421.0
351.0,412.0
348.0,401.0
346.0,391.0
346.0,384.0
344.0,396.0
353.0,406.0
357.0,417.0
367.0,423.0
374.0,426.0
380.0,428.0
382.0,426.0
378.0,398.0
377.0,390.0
380.0,386.0
383.0,383.0
389.0,384.0
397.0,383.0
398.0,385.0
383.0,375.0
372.0,370.0
363.0,364.0
351.0,360.0
340.0,353.0
331.0,349.0
312.0,350.0
315.0,347.0
319.0,349.0
326.0,349.0
336.0,352.0
344.0,352.0
356.0,359.0
413.0,391.0
427.0,401.0
437.0,413.0
444.0,427.0
451.0,436.0
456.0,438.0
460.0,434.0
454.0,397.0
457.0,390.0
452.0,387.0
453.0,386.0
454.0,393.0
457.0,404.0
461.0,414.0
465.0,422.0
488.0,434.0
489.0,428.0
486.0,419.0
483.0,408.0
484.0,400.0
485.0,396.0
492.0,392.0
521.0,411.0
526.0,422.0
532.0,433.0
534.0,440.0
530.0,440.0
530.0,432.0
527.0,420.0
522.0,412.0
532.0,389.0
536.0,396.0
543.0,398.0
547.0,409.0
555.0,424.0
555.0,428.0
560.0,433.0
555.0,431.0
546.0,399.0
552.0,391.0
556.0,390.0
558.0,387.0
572.0,394.0
580.0,405.0
596.0,444.0
597.0,445.0
597.0,443.0
593.0,439.0
588.0,422.0
588.0,423.0
583.0,403.0
585.0,381.0
587.0,380.0
589.0,380.0
594.0,401.0
592.0,413.0
592.0,422.0
560.0,457.0
550.0,464.0
545.0,469.0
538.0,467.0
542.0,471.0
546.0,476.0
556.0,483.0
568.0,494.0
596.0,507.0
597.0,499.0
594.0,492.0
597.0,481.0
612.0,462.0
618.0,462.0
635.0,457.0
688.0,446.0
696.0,447.0
700.0,447.0
702.0,449.0
695.0,450.0
687.0,453.0
680.0,448.0
658.0,418.0
660.0,412.0
662.0,409.0
688.0,405.0
699.0,410.0
738.0,423.0
746.0,430.0
747.0,437.0
741.0,442.0
736.0,440.0
729.0,440.0
706.0,419.0
707.0,409.0
710.0,406.0
715.0,404.0
722.0,401.0
728.0,401.0
744.0,439.0
743.0,440.0
740.0,434.0
740.0,429.0
748.0,403.0
752.0,395.0
762.0,400.0
773.0,407.0
783.0,409.0
790.0,415.0
804.0,426.0
822.0,444.0
814.0,447.0
803.0,442.0
796.0,437.0
789.0,429.0
784.0,422.0
782.0,414.0
794.0,395.0
803.0,393.0
815.0,397.0
819.0,399.0
825.0,405.0
828.0,413.0
830.0,423.0
828.0,429.0
810.0,441.0
807.0,438.0
808.0,436.0
811.0,437.0
816.0,433.0
820.0,432.0
829.0,432.0
866.0,447.0
